Datetime,correl,linearreg_angle,ema_low,minus_di,bb_middleband,ultosc,bb_upperband,beta,cci,macdhist,mom,bb_lowerband,adosc,sentscore,return
2024-02-16 15:00:00,-0.3211170176590477,-6.22974575412168,199.37708500438487,6.317301240201482,200.0848602294922,43.52149700176509,200.96174502583546,0.7254478900673639,7.929193400594401,0.018153553011561796,0.9799957275390909,199.20797543314893,-3846668.851193957,-0.0683,-0.0015468940520720897
2024-02-16 15:30:00,-0.29858070937296477,-8.511135274863207,199.35805911099615,7.347476111112718,200.18999938964845,49.72781084505783,200.88943892610146,0.3001785355955856,-37.331052771276255,-0.016462283138341083,-0.3699951171875,199.49055985319544,-2309046.9034342244,0.0,-0.0007496321616754509
2024-02-16 16:00:00,-0.25506448872992704,-7.124317262530506,199.34537518207034,7.181022889990664,200.24599914550782,55.444138410365476,200.84091026480638,0.366380695320439,-38.30090314852527,-0.04067443588039843,-1.279998779296875,199.65108802620927,-582227.1756978557,0.46855,0.0
2024-02-16 16:30:00,-0.18286762909321833,-0.7675580600540615,199.33691922945314,7.009999046083884,200.06199951171874,57.7171946421325,200.3657946791566,-0.5833915029410751,-39.289012852358944,-0.057003815092850296,-2.3511962890625,199.75820434428087,1065008.0322347432,0.0,0.0
2024-02-16 17:00:00,-0.06563693578310267,0.4166563823907725,199.33128192770835,6.834701991584404,199.97000122070312,57.73814802583844,200.0719970703125,-0.18435082871274586,-46.682293592177516,-0.06740648830502372,-0.5598907470703125,199.86800537109374,2529937.2813446596,-0.074,0.0
2024-02-16 17:30:00,0.1338275565878933,0.19490718213001368,199.32752372654514,6.655468174350091,199.94000244140625,55.290839295030125,199.94000244140625,0.8554756099737078,-48.98970171721513,-0.07339545867445069,-0.089996337890625,199.94000244140625,3787111.433744386,0.32642,0.0
2024-02-16 18:00:00,0.5176310884662698,-2.314856306371657,199.32501825910302,6.472671364667623,199.94000244140625,56.36707348329482,199.94000244140625,0.0,-41.91172706265785,-0.07613677078992087,0.52569580078125,199.94000244140625,4845006.305453613,0.1200833333333333,0.0
2024-02-16 18:30:00,0.6111166901882038,-4.245950910308511,199.32334794747493,6.286720236109068,199.94000244140625,59.82785463200955,199.94000244140625,0.0,-30.74308713002324,-0.07652527841698181,0.2799987792969034,199.94000244140625,5725205.573997699,-0.3842,0.0
2024-02-16 19:00:00,0.6747671044469109,-1.8015771910958198,199.32223440638953,6.098055253571811,199.94000244140625,61.833150809671636,199.94000244140625,0.0,-20.428492354924437,-0.07524431097132384,-0.9199981689453125,199.94000244140625,6452693.071379319,-0.01544,0.0
2024-02-16 19:30:00,0.6616649064361714,-0.46875411694128727,199.32149204566593,5.907144903892733,199.94000244140625,63.33259922391565,199.94000244140625,0.0,-13.113054048893783,-0.07281260231834136,-0.4599914550781534,199.94000244140625,7051572.344432503,0.0,0.0
2024-02-16 20:00:00,0.4353789538393773,-0.0,199.32099713851687,5.714481326840689,199.94000244140625,63.623509884174986,199.94000244140625,0.0,-30.009630586476206,-0.0696211509067933,-0.14999389648440342,199.94000244140625,7543395.59180104,0.0,0.0
2024-02-16 20:30:00,0.4679925110134609,-0.0,199.3206672004175,5.520575425703014,199.94000244140625,63.64249147951796,199.94000244140625,0.0,-42.42424242424097,-0.06596212792365666,0.0,199.94000244140625,7946711.987992352,0.27715,0.0
2024-02-16 21:00:00,0.37066827392405627,-0.0,199.32044724168458,5.325951555960192,199.94000244140625,63.49284160465359,199.94000244140625,0.0,-38.88888888888145,-0.06205151113652099,0.0,199.94000244140625,8277155.909048321,-0.08895,0.0
2024-02-16 21:30:00,0.40035117140315074,-0.0,199.3203006025293,5.131141906619484,199.94000244140625,64.27774042818471,199.94000244140625,0.0,-35.89743589743319,-0.05804677327559277,0.0,199.94000244140625,8547748.006543832,0.0,0.0
2024-02-16 22:00:00,0.26982980389584654,-0.0,199.32020284309246,4.936680700730351,199.94000244140625,65.59013948817507,199.94000244140625,0.0,0.0,-0.05406067678724241,0.0,199.94000244140625,8769255.985537745,0.0,0.0
2024-02-16 22:30:00,0.004136244356717565,-0.0,199.32013767013456,4.743098348728207,199.94000244140625,66.09542079938542,199.94000244140625,0.0,0.0,-0.050172006897001215,0.0,199.94000244140625,8950547.008872468,0.0,0.0
2024-02-16 23:00:00,0.999999999969695,-0.0,199.32009422149596,4.5509156901224515,199.94000244140625,66.717111135695,199.94000244140625,0.0,0.0,-0.04643390045984089,0.0,199.94000244140625,9098904.639134366,0.8074,0.0
2024-02-16 23:30:00,0.0,-0.0,199.3200652557369,4.360638455547354,199.94000244140625,67.50067604518797,199.94000244140625,0.0,0.0,-0.04288028974280744,0.0,199.94000244140625,9220302.460388117,0.0,0.0
2024-02-17 00:00:00,0.0,-0.0,199.32004594523085,4.172752072540405,199.94000244140625,67.78630947482594,199.94000244140625,0.0,0.0,-0.03953087066060705,0.0,199.94000244140625,9319635.103297286,0.0,0.0
2024-02-17 00:30:00,0.0,-0.0,199.32003307156015,3.9877169251178306,199.94000244140625,67.54688373355387,199.94000244140625,0.0,0.0,-0.03639491817171553,0.0,199.94000244140625,9400910.842073744,-0.3612,0.0
2024-02-17 01:00:00,0.0,-0.0,199.32002448911302,3.8059641600586067,199.94000244140625,67.46720523619658,199.94000244140625,0.0,0.0,-0.03347420283890261,0.0,199.94000244140625,9467410.961998055,0.08945,0.0
2024-02-17 01:30:00,0.0,-0.0,199.3200187674816,3.627892112762022,199.94000244140625,67.40475017711405,199.94000244140625,0.0,0.0,-0.030765208230240787,0.0,199.94000244140625,9521821.045126095,0.4767,0.0
