Date,sentscore
2024-03-29 16:30:00,0.46627727
2024-03-29 17:00:00,0.84141505
2024-03-29 17:30:00,0.46627727
2024-03-29 18:00:00,0.43632907
2024-03-29 18:30:00,0.48042482
2024-03-29 19:00:00,0.576372
2024-03-29 19:30:00,0.57287306
2024-03-29 20:00:00,0.45916906
2024-03-29 20:30:00,0.4336015
2024-03-29 21:00:00,0.46627727
2024-03-29 21:30:00,0.46627727
2024-03-29 22:00:00,0.46627727
2024-03-29 22:30:00,0.2875799
2024-03-29 23:00:00,0.46627727
2024-03-29 23:30:00,0.64497465
2024-03-30 00:00:00,1.0
2024-03-30 00:30:00,0.46627727
2024-03-30 01:00:00,0.46627727
2024-03-30 01:30:00,0.46627727
2024-03-30 02:00:00,0.46627727
2024-03-30 02:30:00,0.46627727
2024-03-30 03:00:00,0.46627727
2024-03-30 03:30:00,0.46627727
2024-03-30 04:00:00,0.46627727
2024-03-30 04:30:00,0.6104805
2024-03-30 05:00:00,0.46627727
2024-03-30 05:30:00,0.38668174
2024-03-30 06:00:00,0.46627727
2024-03-30 06:30:00,0.46627727
2024-03-30 07:00:00,0.46627727
2024-03-30 07:30:00,0.46627727
2024-03-30 08:00:00,0.46627727
2024-03-30 08:30:00,0.46627727
2024-03-30 09:00:00,0.46627727
2024-03-30 09:30:00,0.46627727
2024-03-30 10:00:00,0.46627727
2024-03-30 10:30:00,0.46627727
2024-03-30 11:00:00,0.46627727
2024-03-30 11:30:00,0.46627727
2024-03-30 12:00:00,0.46627727
2024-03-30 12:30:00,0.46627727
2024-03-30 13:00:00,0.46627727
2024-03-30 13:30:00,0.46627727
2024-03-30 14:00:00,0.46627727
2024-03-30 14:30:00,0.46627727
2024-03-30 15:00:00,0.46627727
2024-03-30 15:30:00,0.46627727
2024-03-30 16:00:00,0.46627727
2024-03-30 16:30:00,0.60235286
2024-03-30 17:00:00,0.46627727
2024-03-30 17:30:00,0.5657924
2024-03-30 18:00:00,0.3031739
2024-03-30 18:30:00,0.46627727
2024-03-30 19:00:00,0.48754683
2024-03-30 19:30:00,0.6104805
2024-03-30 20:00:00,0.6334215
2024-03-30 20:30:00,0.22440489
2024-03-30 21:00:00,0.46627727
2024-03-30 21:30:00,0.46627727
2024-03-30 22:00:00,0.46627727
2024-03-30 22:30:00,0.46627727
2024-03-30 23:00:00,0.46627727
2024-03-30 23:30:00,0.46627727
2024-03-31 00:00:00,0.46627727
2024-03-31 00:30:00,0.46627727
2024-03-31 01:00:00,0.46627727
2024-03-31 01:30:00,0.46627727
2024-03-31 02:00:00,0.31573725
2024-03-31 02:30:00,0.46627727
2024-03-31 03:00:00,0.46627727
2024-03-31 03:30:00,0.46627727
2024-03-31 04:00:00,0.46627727
2024-03-31 04:30:00,0.46627727
2024-03-31 05:00:00,0.46627727
2024-03-31 05:30:00,0.46627727
2024-03-31 06:00:00,0.46627727
2024-03-31 06:30:00,0.46627727
2024-03-31 07:00:00,0.46627727
2024-03-31 07:30:00,0.46627727
2024-03-31 08:00:00,0.46627727
2024-03-31 08:30:00,0.46627727
2024-03-31 09:00:00,0.46627727
2024-03-31 09:30:00,0.46627727
2024-03-31 10:00:00,0.46627727
2024-03-31 10:30:00,0.46627727
2024-03-31 11:00:00,0.46627727
2024-03-31 11:30:00,0.46627727
2024-03-31 12:00:00,0.46627727
2024-03-31 12:30:00,0.46627727
2024-03-31 13:00:00,0.46627727
2024-03-31 13:30:00,0.46627727
2024-03-31 14:00:00,0.46627727
2024-03-31 14:30:00,0.46627727
2024-03-31 15:00:00,0.46627727
2024-03-31 15:30:00,0.45916906
2024-03-31 16:00:00,0.46627727
2024-03-31 16:30:00,0.576372
2024-03-31 17:00:00,0.46627727
2024-03-31 17:30:00,0.46627727
2024-03-31 18:00:00,0.46627727
2024-03-31 18:30:00,0.46627727
2024-03-31 19:00:00,0.46627727
2024-03-31 19:30:00,0.46627727
2024-03-31 20:00:00,0.46627727
2024-03-31 20:30:00,0.46627727
2024-03-31 21:00:00,0.89513993
2024-03-31 21:30:00,0.46627727
2024-03-31 22:00:00,0.46627727
2024-03-31 22:30:00,0.46627727
2024-03-31 23:00:00,0.46627727
2024-03-31 23:30:00,0.46627727
2024-04-01 00:00:00,0.46627727
2024-04-01 00:30:00,0.3031739
2024-04-01 01:00:00,0.46627727
2024-04-01 01:30:00,0.46627727
2024-04-01 02:00:00,0.39574608
2024-04-01 02:30:00,0.46627727
2024-04-01 03:00:00,0.46627727
2024-04-01 03:30:00,0.46627727
2024-04-01 04:00:00,0.46627727
2024-04-01 04:30:00,0.46627727
2024-04-01 05:00:00,0.46627727
2024-04-01 05:30:00,0.46627727
2024-04-01 06:00:00,0.46627727
2024-04-01 06:30:00,0.46627727
2024-04-01 07:00:00,0.46627727
2024-04-01 07:30:00,0.42373815
2024-04-01 08:00:00,0.46627727
2024-04-01 08:30:00,0.46627727
2024-04-01 09:00:00,0.46627727
