Date,correl,linearreg_angle,ema_low,minus_di,bb_middleband,ultosc,bb_upperband,beta,cci,macdhist,mom,bb_lowerband,adosc,sentscore,return
2024-03-26 15:00:00,0.0881698450242274,-24.038797234408047,178.89830037157603,6.973558267970846,179.09839782714843,44.2510966969629,179.68659184866712,0.7550870273206044,-112.94246088353307,-0.6415028877509762,-3.7169036865234375,178.51020380562974,3091875.6559984684,0.0,-0.005808477450490179
2024-03-26 15:30:00,0.2553932753206644,-20.672062089818912,178.39220187532152,9.600922458971112,178.77539978027343,41.86694369925815,179.8553548752089,0.7247308136659845,-137.1177765151037,-0.6732883123171536,-5.6300048828125,177.69544468533797,1008083.8357091546,0.0,-0.0046604940434807895
2024-03-26 16:00:00,0.3999291328058831,-18.641313938877058,178.0548028778185,9.278250517595792,178.49840087890624,40.2020861492696,179.75283783304604,0.9229256420488028,-112.8938177852329,-0.6637585486667936,-4.175003051757841,177.24396392476643,-959658.2341643572,0.8658,0.0
2024-03-26 16:30:00,0.5351866589532497,-17.444600215689917,177.8298702128165,8.954166157999937,178.2314025878906,36.321892284859324,179.49038536126747,0.9374578297924122,-96.57840185308919,-0.6273199514113132,-3.16290283203125,176.97241981451376,-2701039.763424754,0.0,0.0
2024-03-26 17:00:00,0.6700457924493337,-15.375571453188593,177.67991510281516,8.629553834245757,177.8564025878906,34.03959659628881,178.42216308594456,0.9865093440716257,-88.24456947949838,-0.5744958009798814,-2.830001831054716,177.29064208983667,-4191511.8415924907,0.0,0.0
2024-03-26 17:30:00,0.8125953216587039,-12.758635767837188,177.57994502948094,8.305303778171112,177.69000244140625,33.27352816210588,177.69000244140625,1.0829236556082147,-85.25454326836257,-0.512861240373075,-2.455001831054716,177.69000244140625,-5443841.682661593,-0.06364,0.0
2024-03-26 18:00:00,0.9726951912045052,-11.537095369558305,177.5132983139248,7.982302255622761,177.69000244140625,30.160775283306435,177.69000244140625,0.0,-76.13374526198933,-0.44776655635965146,-1.614990234375,177.69000244140625,-6484901.532093167,0.5719,0.0
2024-03-26 18:30:00,0.9720963134221255,-10.069352652943934,177.4688671702207,7.661421914653943,177.69000244140625,31.973075016751423,177.69000244140625,0.0,-66.66666666666508,-0.382894954372749,-1.3849945068359375,177.69000244140625,-7344890.94408834,0.0,0.0
2024-03-26 19:00:00,0.9789097871048076,-7.832997464445293,177.4392464077513,7.343512447914103,177.69000244140625,31.515554416770193,177.69000244140625,0.0,-58.333333333331744,-0.32069115739696263,-1.334991455078125,177.69000244140625,-8052625.230587244,0.1589,0.0
2024-03-26 19:30:00,0.9678564226247094,-2.5984060989661435,177.4194992327717,7.029391779087393,177.69000244140625,31.381908867169255,177.69000244140625,0.0,-51.85185185184943,-0.2626893947256786,-1.875,177.69000244140625,-8633733.848792255,0.4019,0.0
2024-03-26 20:00:00,0.9529217596036972,-0.0,177.40633444945198,6.719837962877398,177.69000244140625,30.90087278962745,177.69000244140625,0.0,-46.666666666664646,-0.20976321172493811,-0.832000732421875,177.69000244140625,-9110213.00104028,0.2027749999999999,0.0
2024-03-26 20:30:00,0.9838478077150465,-0.0,177.3975579272388,6.415581960885672,177.69000244140625,30.288952618825693,177.69000244140625,0.0,-42.424242424240425,-0.16231468891038892,0.0,177.69000244140625,-9500572.903374255,0.0,0.0
2024-03-26 21:00:00,0.9759595619034779,-0.0,177.39170691243004,6.117301423346739,177.69000244140625,30.213226105080786,177.69000244140625,0.0,-38.88888888888624,-0.12041683934262748,0.0,177.69000244140625,-9820214.939622104,0.25425,0.0
2024-03-26 21:30:00,0.9908723319952931,-0.0,177.38780623589085,5.8256155708528645,177.69000244140625,28.931731337047108,177.69000244140625,0.0,-35.89743589742903,-0.08391994440410394,0.0,177.69000244140625,-10081868.5728122,0.3182,0.0
2024-03-26 22:00:00,0.990421984085031,-0.0,177.38520578486472,5.541081232815841,177.69000244140625,28.77267027491926,177.69000244140625,0.0,66.66666666666667,-0.05253022020570114,0.0,177.69000244140625,-10296012.983552337,0.91,0.0
2024-03-26 22:30:00,0.9853999643484911,-0.0,177.38347215084733,5.264190062319663,177.69000244140625,28.157100884414497,177.69000244140625,0.0,66.66666666666667,-0.025867345898761163,0.0,177.69000244140625,-10471254.129586577,-0.3291,0.0
2024-03-26 23:00:00,0.9999999999736421,-0.0,177.38231639483573,4.99536691190612,177.69000244140625,27.40911017658278,177.69000244140625,0.0,66.66666666666667,-0.0035059245452779275,0.0,177.69000244140625,-10614649.290419757,0.0015,0.0
2024-03-26 23:30:00,0.0,-0.0,177.381545890828,4.7349693231349885,177.69000244140625,26.48081849392644,177.69000244140625,0.0,66.66666666666667,0.01499519748334871,0.0,177.69000244140625,-10731980.62450409,0.5429,0.0
2024-03-27 00:00:00,0.0,-0.0,177.3810322214895,4.483288055574574,177.69000244140625,26.23162996819431,177.69000244140625,0.0,66.66666666666667,0.030072722204946722,0.0,177.69000244140625,-10827982.999092579,0.405975,0.0
2024-03-27 00:30:00,0.0,-0.0,177.38068977526385,4.240548558947624,177.69000244140625,25.749373590757124,177.69000244140625,0.0,66.66666666666667,0.04214547188321205,0.0,177.69000244140625,-10906532.401651978,0.5719,0.0
2024-03-27 01:00:00,-0.9999999999863426,-4.475564182924328,176.98709498201183,3.362116069819542,177.4030029296875,17.494719872030974,178.37880126953857,-0.39642488244034074,466.6666666666106,-0.03997223653995341,-1.43499755859375,176.4272045898364,-15750910.666768372,-0.1531,-0.0080758486064344
